numerical_amount,category_main,category_sub,merchant_name
730.4737298436246,0,4,15
951.194202029053,1,3,25
305.9341753043967,1,3,5
-121.20482659541123,0,4,15
478.0526293392313,1,3,5
969.6203247229328,3,5,6
-410.7621868009737,2,0,13
-303.451027677876,3,5,18
318.161411210918,3,5,6
88.75954411641408,2,0,17
-37.14439853026397,0,4,15
341.9980802438108,3,5,2
-123.8217093333563,3,5,14
911.5405433130164,3,5,14
-417.3943211059276,3,5,18
73.96159785165457,3,5,18
-115.98400763331377,1,3,25
8.52635264051554,3,5,18
443.96628816547934,3,5,7
251.07583975715968,3,5,18
53.09849660858447,3,5,14
909.4687545518752,3,5,14
-102.77882594823666,3,5,2
970.4135070051864,1,3,25
-44.50081833673357,2,0,17
940.1924749430264,2,0,13
966.880823706426,1,3,25
451.2510772932866,3,5,12
643.6906444376862,3,5,18
-432.6484267153347,3,5,2
-360.9978017347133,3,5,12
901.0927986776164,2,0,13
949.0042938886768,0,4,15
929.258750829896,2,0,13
690.5576413994429,3,5,21
726.6534821042485,3,5,6
293.2971006860876,3,5,18
302.8366423040052,3,5,18
840.335696812828,2,0,13
565.8539308316258,3,5,12
-315.4774568648028,3,5,14
618.4031179600747,3,5,6
577.6715200292431,0,4,15
557.4100276827369,3,5,14
997.751032264358,3,5,18
346.73891436631936,2,0,13
545.1163774090637,3,5,7
-94.48324478252071,2,0,17
988.6535501353668,0,4,15
-153.36364491879235,1,3,5
131.83245981332325,1,3,5
-105.72482999694164,1,3,25
-358.47575325953784,2,0,17
797.7807093835829,2,0,13
406.9207364424042,0,4,15
96.00279629751014,3,5,12
-318.59920385486635,3,5,2
-174.65683084493622,3,5,6
304.19600301029016,3,5,18
982.805341588812,2,0,13
414.137530931278,1,3,5
-243.0282296227109,3,5,2
218.67441765203444,3,5,18
-98.84551730243804,3,5,18
774.1275576446494,3,5,12
-432.8727907061712,3,5,14
-226.9000542383734,3,5,14
-160.65992203157174,2,0,17
-128.17178360976402,3,5,21
-217.6548608143452,3,5,2
-273.66316432628366,1,3,25
-106.3595751595248,2,0,17
-414.1584701926717,1,3,25
-373.0636393018789,2,0,13
604.0012956212906,3,5,18
103.28141636161216,0,4,15
606.0401607655806,3,5,7
43.92675588995564,3,5,12
-108.2408236843022,1,3,25
-247.7625091823604,3,5,21
615.9621904672911,3,5,14
109.91729918812392,1,3,25
230.5813487104032,3,5,2
-342.88657878568574,1,3,5
396.9241049056933,3,5,14
495.2032586324667,2,0,13
-155.3687221741593,1,3,5
101.77747781136212,3,5,6
569.202731931239,2,0,17
-115.86869192522532,0,4,15
-118.4482923158708,3,5,2
-37.49553654425563,3,5,7
141.0107433001658,2,0,13
801.0615748113576,3,5,2
518.8205492850082,3,5,2
168.08994731387247,3,5,21
868.1319798530678,3,5,14
892.0787523360511,3,5,7
109.55933052765864,3,5,6
262.5366754644343,2,0,13
497.1931819105568,2,0,17
202.723778486706,1,3,5
19.650391372351805,3,5,6
995.6190793648248,3,5,2
128.73746945411926,3,5,18
101.73810971409034,2,0,17
-332.4518762065471,3,5,2
651.7193400234189,2,0,13
942.9440300587114,3,5,7
216.69298494736768,2,0,13
9.26523912290429,3,5,18
287.76217925399146,2,0,13
356.3721035015077,3,5,21
325.8309738683015,3,5,14
404.1245987669331,3,5,2
725.0778161712833,1,3,5
811.4600903725745,1,3,5
32.66260828979955,0,4,15
-431.7583568019593,0,4,15
-95.87533669789627,0,4,15
397.4032214875666,2,0,17
-118.80686003402934,3,5,21
481.7408740948736,3,5,14
724.8594428992051,2,0,17
838.4314194889198,3,5,14
923.846013657082,2,0,17
-175.42871908285662,2,0,13
-142.35461007752082,3,5,2
-495.4531827034183,1,3,25
550.565489818279,3,5,2
701.0392218637551,3,5,7
430.640439733538,3,5,7
-44.14087032855792,2,0,13
998.4054962347772,3,5,7
-209.30936443848384,3,5,21
-343.48881697134163,1,3,25
215.84809938170133,3,5,12
-406.9768712985507,3,5,6
648.2515670430973,3,5,14
-6.117930669950283,2,0,13
166.17110634394612,3,5,12
380.246594585464,3,5,21
411.9968271805833,0,4,15
-244.2694892644946,3,5,12
-257.8141867311284,1,3,25
794.6210313285414,2,0,13
785.8806890292146,2,0,17
487.28766264143087,2,0,13
-91.86028205973076,3,5,12
155.81684524285788,2,0,13
978.857341943182,3,5,14
710.4579038804613,1,3,5
846.8078179829454,2,0,13
-116.42404747303068,3,5,21
84.09668742213091,3,5,2
-425.0502493095406,1,3,25
-376.3575606654513,1,3,5
-244.9511572765099,3,5,2
900.039898406156,3,5,2
571.4068842670345,3,5,14
824.2316196978975,3,5,12
841.5369146545106,3,5,14
172.70325399251476,1,3,25
-343.5348819725538,3,5,2
-179.11588044082305,3,5,21
917.0169445470024,3,5,12
602.6714144321252,2,0,17
945.6501027399164,3,5,14
578.0352926641658,0,4,15
836.3135697460568,3,5,6
-280.97509087552044,3,5,2
433.77077969825496,1,3,25
567.138451898277,2,0,17
182.0253342379773,2,0,17
688.6965778076462,3,5,2
310.2347393453133,3,5,14
-98.60131022197568,3,5,21
508.5662884382947,2,0,13
799.8805203419322,3,5,2
828.415916871809,2,0,17
609.6956671567477,3,5,21
21.192288955840468,1,3,5
950.864346835814,2,0,17
720.6644282615941,1,3,5
377.2356260943334,3,5,18
-368.3912387290408,3,5,21
4.8940258643250445,3,5,2
-51.92385944039813,3,5,6
741.9263651348954,1,3,25
912.549929711086,1,3,5
916.4290419210396,1,3,25
-382.2277933870297,3,5,7
994.5768555645196,3,5,7
-265.1360727652324,1,3,25
-470.42234659054895,2,0,13
706.6725831140334,3,5,7
-43.68238670201919,2,0,13
804.8488732105338,3,5,6
-138.5720294647777,0,4,15
187.45224139932907,3,5,18
272.7420806254587,3,5,2
135.4924240856808,1,3,25
351.90367603306004,3,5,18
544.2814957920991,0,4,15
146.16108764326077,3,5,21
-213.73752237972872,3,5,7
529.8606698513863,3,5,21
51.822617418684445,3,5,21
-411.83761787177264,1,3,25
-443.35649048213264,3,5,6
480.95880583708833,3,5,7
489.32099669526895,1,3,25
-250.7229161938495,2,0,17
-18.7768361541614,3,5,6
287.1658743693847,3,5,12
476.4909354110872,3,5,21
557.4982053279439,2,0,17
973.8824856336124,3,5,2
462.1872818514082,1,3,25
-32.96451875215553,3,5,14
-150.3639008033333,3,5,2
-291.38919879530584,0,4,15
615.0759861424056,3,5,14
978.5579566055546,3,5,12
579.9997104597501,3,5,21
267.0296634568057,0,4,15
166.52637770119998,3,5,6
-250.2716109166932,3,5,18
42.40472734575656,0,4,15
299.90933190611247,0,4,15
380.109856882068,1,3,5
454.1008482893558,3,5,18
779.8021197998132,2,0,13
-494.43804790100427,3,5,7
414.92335946529056,3,5,2
390.2475878390726,3,5,14
26.086513447464085,3,5,6
210.57927824408864,2,0,17
602.9334052406739,3,5,12
2.335896738722454,1,3,25
-112.12371122169316,3,5,21
933.2043313212696,1,3,5
-435.2008220692313,3,5,14
930.8751730072242,3,5,12
598.5043922916495,3,5,6
830.5465776500105,0,4,15
-268.93033797667016,3,5,7
80.34339324945518,3,5,6
-52.9173122650102,2,0,17
269.2803000336985,3,5,6
136.82417537298045,1,3,5
103.93423619819669,3,5,6
576.3500041224806,3,5,14
504.0518894636582,1,3,25
-12.826401706966353,3,5,14
-51.47168430248388,1,3,25
544.682869317764,3,5,2
965.451893653816,1,3,25
510.891639603106,3,5,12
-372.5394085056588,2,0,13
981.7524503763766,1,3,5
-81.17887801596834,3,5,12
-294.50377956394664,3,5,6
-384.984495913921,3,5,12
288.4207020515022,3,5,18
355.2082152782034,1,3,5
-481.6170650758061,2,0,17
767.9379207319951,3,5,6
-310.8953269716379,0,4,15
183.3417357880311,3,5,2
-366.822232230428,2,0,13
361.8806502752672,3,5,14
-234.1716243817729,1,3,25
380.8021919750919,3,5,14
749.1983026287635,3,5,18
96.81503275516786,3,5,7
503.4883146335056,3,5,2
424.0475433135434,3,5,14
-68.47207338870675,3,5,6
176.73666240247144,1,3,5
-162.90624508594135,3,5,7
567.9130043629978,3,5,12
218.349171671582,3,5,6
-88.31865206105272,3,5,21
834.9728924523877,3,5,7
861.4111827899501,3,5,18
310.17663576601115,3,5,7
-139.09032222032812,0,4,15
759.4219540382385,3,5,12
418.6389376492275,3,5,6
438.6821031988966,2,0,17
-213.45148079093144,1,3,5
943.3462253369124,1,3,25
703.8079869052419,3,5,7
872.1672139034335,1,3,5
769.5053982619565,3,5,7
267.26534653853093,0,4,15
684.5578620099602,3,5,2
321.70849264402466,3,5,12
48.18008672459473,2,0,13
738.1011549204786,3,5,21
963.2692067894864,3,5,7
517.7162225365628,3,5,6
113.7591530632717,2,0,17
31.57195402491027,2,0,13
-176.36146641707302,3,5,18
-20.5955692090692,3,5,14
-483.3039397952872,3,5,18
117.84596623160678,2,0,13
-107.2166373380482,3,5,6
750.0107717493033,3,5,14
971.7575772547514,3,5,12
391.4409980324797,1,3,25
763.2955691481925,3,5,21
251.6740466932747,1,3,5
-25.283044100714847,3,5,12
630.3523554812489,3,5,18
935.0227882580524,3,5,2
-234.9949902728997,1,3,25
686.1050860255184,3,5,7
250.8371681883866,0,4,15
449.4344205396909,3,5,18
238.7656818012549,3,5,18
734.4082502886909,2,0,13
139.7625819178453,3,5,21
236.60648452354403,1,3,25
616.2985497382176,3,5,21
-44.861279912750376,2,0,17
704.2775977998213,3,5,6
-257.9536824354627,3,5,12
80.17198179186119,3,5,7
434.34311107435406,3,5,12
575.4430330139182,3,5,18
509.3315323163904,3,5,18
760.6161582650957,3,5,18
496.80008951399486,2,0,13
-174.0514571086623,3,5,21
484.6401780335285,2,0,13
290.12736603039684,0,4,15
576.040594890176,0,4,15
-190.4734262819952,3,5,2
357.08388155516855,3,5,21
-450.5822776002016,3,5,12
805.56968889427,3,5,6
-176.65320031717022,3,5,6
703.4679074662376,3,5,18
-440.5785150965482,2,0,17
25.06092528842862,3,5,21
595.6924514043078,2,0,13
298.1011272727535,3,5,14
303.42071644999874,2,0,13
168.48808470844472,3,5,18
994.984058831354,3,5,2
662.7970267467979,3,5,21
426.06264087804607,3,5,2
537.5755877234217,3,5,12
-32.296407908395054,3,5,14
679.4135261656488,3,5,7
348.8760314327187,3,5,2
732.8656244632041,3,5,7
141.9814644615641,0,4,15
-394.1318360905205,2,0,13
595.4792974678837,3,5,18
561.386817487524,3,5,18
-394.68091826033407,3,5,7
552.2031875183873,3,5,2
-324.624986417728,3,5,6
14.807830824924622,3,5,18
288.03138501864373,0,4,15
554.0581853216336,2,0,17
279.5979324972856,2,0,17
75.42434113958757,3,5,14
141.25391403973026,3,5,14
969.1812098233586,2,0,17
-237.3826605065807,0,4,15
745.990742015342,2,0,13
827.1578215682448,1,3,5
84.26275535667764,3,5,18
-1.4295536854939428,3,5,12
-353.97751176161296,3,5,18
-236.45838756103691,3,5,14
-237.4951343480772,2,0,17
-398.1772705183496,2,0,17
155.6674568353916,1,3,25
876.7327374670942,1,3,5
-306.5733787226475,0,4,15
726.0269772933491,1,3,25
749.5035407352534,2,0,17
212.69932941158663,3,5,21
684.07354396649,3,5,14
693.335397466592,3,5,7
515.004001937808,0,4,15
952.4675654753016,3,5,14
977.8619842604024,3,5,7
608.1736435047601,3,5,21
-84.47612764588331,1,3,25
-96.06526235558404,1,3,25
489.745564645518,3,5,6
-35.722401525419855,3,5,2
-266.15772632701726,3,5,21
292.64520724408567,1,3,5
-113.02881530976026,2,0,13
642.9444229488622,3,5,6
16.074290755429843,0,4,15
-171.19340908034604,3,5,12
315.3070712410606,3,5,18
-56.507507562496585,3,5,14
-59.902872056582055,3,5,21
511.9741014277111,3,5,14
-498.5111753687148,1,3,25
17.19635735924578,3,5,21
833.080347793061,1,3,5
191.404993832047,3,5,18
-153.70212931241406,2,0,17
984.9245618648353,3,5,7
79.00436122415499,3,5,2
-24.78710720753588,3,5,18
135.73947040848543,3,5,21
842.3795314972235,2,0,13
-487.2126265005799,3,5,21
95.32186732894354,3,5,7
237.7284747365728,3,5,2
826.9855729211718,3,5,12
-178.20521307147015,3,5,7
-378.6085748184052,3,5,14
902.7055611323908,0,4,15
-205.4376653133662,1,3,5
-128.86700322676114,3,5,6
238.78821170353137,1,3,25
544.7871297918102,0,4,15
559.916503042039,3,5,6
655.5821538780726,3,5,18
180.57439745986144,3,5,21
-123.30543873055376,2,0,13
269.6894291572236,2,0,13
52.665285698350544,3,5,12
858.9031007043061,3,5,21
460.4526195192923,3,5,2
787.0551698058046,3,5,21
419.31236748459344,0,4,15
-214.4014273345129,0,4,15
106.26369715190084,1,3,5
-218.79196528318928,2,0,13
645.8679696131921,0,4,15
761.6688815610337,3,5,7
350.1671763215155,3,5,21
902.480253611219,3,5,2
835.1175147927268,3,5,18
-117.91171853955863,1,3,5
-283.4555095684274,3,5,12
303.66746928154123,3,5,2
